trigger,category,rt,amplitude
251,0,0.4375,124.132762946235
241,0,0.421875,114.218191177105
152,0,0.53125,3352.70531080509
251,0,0.3671875,118.453468086085
241,0,0.40625,100.094418037877
152,0,0.5625,3162.18699116885
141,0,0.5390625,2556.50667562463
142,99,NaN,1810.89253785716
253,0,0.3203125,107.393480449834
241,0,0.53125,112.393558434152
242,0,0.4609375,97.5845318405794
153,0,0.515625,3229.58005640206
251,0,0.3671875,114.161942900707
241,0,0.453125,80.2024508237972
242,0,0.4765625,79.6722117214045
153,0,0.5625,3780.05130515734
141,0,0.53125,3556.35897454609
252,0,0.390625,110.58160915219
241,0,0.4140625,89.8256894388898
152,0,0.6640625,2690.20758608433
141,0,0.5078125,3201.52102308065
142,0,0.6328125,2697.3428270242
253,0,0.4609375,99.7713388451926
241,0,0.484375,89.5419701240515
242,0,0.515625,88.0616074947935
153,0,0.5546875,3661.50306332918
141,0,0.484375,3167.96285899083
142,0,0.5546875,3206.35305752878
253,0,0.5234375,85.0620678769267
241,0,0.4921875,89.9294424971255
152,0,0.625,3444.05750741716
251,0,0.4921875,100.71671955312
153,0,0.53125,3379.62070981732
141,0,0.625,3243.22375700998
142,0,0.7734375,2688.48502053798
253,0,0.4765625,88.1449175014874
151,0,0.5,2660.04511855929
141,0,0.6015625,2749.04539076366
252,0,0.5,133.969389352736
151,0,0.5703125,2814.59931226758
141,0,0.8671875,2379.08755810198
142,99,NaN,2591.17600791659
253,0,0.453125,102.092930779704
151,0,0.5390625,2823.69999593857
253,0,0.4921875,88.5936733261784
241,99,NaN,44.2885832175317
152,0,0.625,3343.39437310541
251,0,0.4453125,75.4389687180548
153,0,0.5390625,3456.79154405291
253,0,0.5546875,90.4130910297695
241,0,0.625,92.3604078892836
242,0,0.65625,63.268940786974
153,0,0.59375,4165.589573565
251,0,0.4296875,80.5712297582255
241,99,NaN,81.7177087650023
242,0,0.6484375,86.377916937895
153,0,0.46875,3903.4184987956
141,0,0.625,3310.70972125409
252,0,0.46875,90.587392718202
241,0,0.515625,74.8905232715424
242,0,0.5,80.8088777979395
153,0,0.5,4553.2844076369
141,0,0.5625,3570.80770651231
142,0,0.5625,2905.37417637849
253,0,0.5078125,94.5591467868627
241,0,0.5625,69.4678662918534
152,0,0.5859375,3220.14573381008
141,0,0.6171875,2738.98437379052
252,0,0.4453125,85.5597248270623
241,0,0.5,73.5141463405579
152,0,0.515625,3247.86382884278
141,0,0.6328125,3015.1848235365
142,0,0.6484375,2727.04915420006
253,0,0.578125,77.9042555519368
151,0,0.5546875,2716.05086697002
141,0,0.6328125,2668.99747467207
142,0,0.6015625,2413.8218970624
253,0,0.421875,92.4936212061685
241,0,0.4765625,76.1610123430042
152,0,0.53125,3318.78306453779
251,0,0.5078125,92.1439079062555
153,0,0.4765625,3031.30598769497
141,0,0.8671875,3376.39347039296
142,0,0.8046875,2625.20456338047
253,0,0.421875,83.3096466342724
241,0,0.4375,70.8918487585204
242,0,0.4453125,70.5036735710815
153,99,NaN,3511.10985157257
141,0,0.5703125,3162.22900249368
252,0,0.3828125,77.2469054021897
241,99,NaN,87.9469506137124
242,0,0.6796875,55.831442292006
153,0,0.640625,3840.26136054151
141,0,0.703125,3148.18828068261
252,99,NaN,84.6326482856117
151,99,NaN,3059.38589548407
141,0,0.625,2958.91362724735
